Age	Males	Female
0	100000.0	100000.0
1	99527.8	99621.5
2	99494.6	99592.5
3	99475.5	99579.1
4	99463.1	99567.2
5	99452.5	99557.5
6	99441.6	99548.5
7	99431.7	99540.3
8	99424.1	99533.4
9	99413.7	99525.4
10	99403.5	99518.9
11	99394.5	99512.5
12	99384.8	99505.3
13	99373.9	99496.4
14	99364.5	99488.4
15	99351.7	99477.5
16	99335.9	99465.3
17	99313.7	99451.2
18	99277.9	99431.9
19	99229.7	99413.1
20	99182.9	99390.9
21	99131.4	99369.8
22	99076.3	99349.2
23	99021.0	99328.6
24	98962.6	99304.0
25	98908.3	99279.6
26	98847.8	99253.7
27	98787.5	99227.0
28	98725.6	99194.7
29	98656.8	99160.7
30	98582.5	99128.9
31	98502.5	99091.3
32	98421.6	99051.1
33	98338.9	99006.8
34	98249.5	98958.6
35	98151.8	98906.5
36	98050.1	98848.4
37	97940.5	98788.1
38	97820.0	98719.9
39	97690.1	98644.3
40	97548.9	98566.1
41	97394.7	98478.3
42	97237.0	98378.8
43	97065.7	98273.1
44	96882.4	98159.4
45	96673.2	98034.3
46	96454.0	97897.0
47	96227.5	97746.3
48	95988.2	97587.8
49	95725.7	97413.8
50	95445.8	97217.7
51	95141.6	97006.1
52	94807.0	96766.7
53	94432.6	96504.0
54	94026.9	96221.3
55	93589.4	95913.0
56	93098.8	95583.2
57	92552.9	95219.0
58	91975.0	94822.4
59	91342.1	94396.1
60	90665.0	93921.2
61	89917.7	93409.6
62	89111.5	92856.1
63	88237.6	92265.1
64	87313.7	91637.7
65	86312.3	90953.6
66	85238.6	90213.7
67	84028.9	89383.6
68	82730.7	88482.4
69	81348.1	87517.4
70	79805.2	86442.4
71	78105.0	85240.5
72	76267.8	83964.4
73	74308.4	82545.2
74	72238.1	81031.4
75	69988.2	79363.5
76	67606.2	77554.3
77	65039.0	75558.7
78	62306.6	73366.4
79	59378.6	70964.7
80	56311.8	68353.4
81	53041.8	65508.8
82	49559.2	62426.5
83	45915.3	59111.9
84	42162.7	55518.7
85	38304.5	51715.8
86	34401.5	47755.1
87	30513.6	43621.4
88	26658.3	39436.8
89	22962.7	35170.6
90	19357.3	30891.9
91	16077.8	26591.1
92	13119.7	22584.9
93	10530.5	18808.5
94	8269.2	15438.1
95	6299.8	12307.0
96	4665.5	9550.2
97	3345.3	7205.7
98	2327.9	5310.1
99	1573.6	3808.6
100	1034.8	2644.8
